File ID,Code,Kbook ID,Barry,Mislabeled,comma,Library,Path,Filename,Artist,Song
171,SC1010-02,10214,0,0,1,Sound Choice,SC1000/1000/SC1010 - Country Hits Pack2,"SC1010-02 - Holy, Steve - Good Morning Beautiful","Holy, Steve",Good Morning Beautiful
15906,SC8665-05,10215,0,0,1,Sound Choice,SC8000/8650/SC8665,"SC8665-05 - Holy, Steve - Hunger, The","Holy, Steve","Hunger, The"
9519,SC3334-01,10216,0,0,1,Sound Choice,SC3000/3300/SC3334,"SC3334-01 - Holy, Steve - I'm Not Breakin'","Holy, Steve",I'm Not Breakin'
9911,SC3358-06,10217,0,0,1,Sound Choice,SC3000/3350/SC3358,"SC3358-06 - Holy, Steve - Rock A Bye Heart","Holy, Steve",Rock A Bye Heart
9264,SC3318-04,10218,0,0,0,Sound Choice,SC3000/3300/SC3318,SC3318-04 - Hometown News - Minivan,Hometown News,Minivan
9570,SC3337-04,10219,0,0,0,Sound Choice,SC3000/3300/SC3337,SC3337-04 - Hometown News - Wheels,Hometown News,Wheels
14453,SC8284-05,10220,0,0,0,Sound Choice,SC8000/8250/SC8284,SC8284-05 - Honey Cone - Want Ads,Honey Cone,Want Ads
19349,SF046-05,10221,0,0,1,Sunfly,SF Hits/000/SF 046,"SF046-05 - Honeycombs, The - Have I The Right","Honeycombs, The",Have I The Right
2650,SC2097-04,10222,0,0,0,Sound Choice,SC2000/2050/SC2097 70's & 80's Male Hits Vol.2,SEA OF LOVE - HONEYDRIPPERS - SC2097-04,Honeydrippers,Sea Of Love
20580,SF128-05,10223,0,0,0,Sunfly,SF Hits/100/SF 128,SF128-05 - END OF THE LINE - HONEYZ,Honeyz,End Of The Line
20545,SF126-02,10224,0,0,0,Sunfly,SF Hits/100/SF 126,SF126-02 - FINALY FOUND - HONEYZ,Honeyz,Finaly Found
20926,SF152-08,10225,0,0,0,Sunfly,SF Hits/150/SF 152,SF152-08 - NEVER LET YOU DOWN - HONNIES,Honnies,Never Let You Down
8884,SC3288-07,10226,0,0,0,Sound Choice,SC3000/3250/SC3288,SC3288 - 07 - Crawling In The Dark - Hoobastank,Hoobastank,Crawling In The Dark
16825,SC8803-09,10227,0,0,0,Sound Choice,SC8000/8800/sc8803,CRAWLING IN THE DARK - HOOBASTANK - SC8803-09,Hoobastank,Crawling In The Dark
11428,SC3462-06,10228,0,0,0,Sound Choice,SC3000/3450/SC3462,Sc3462 - 06 - If i were you - Hoobastank,Hoobastank,If I Were You
10558,SC3398-06,10229,0,0,0,Sound Choice,SC3000/3350/SC3398,SC3398-06 - Hoobastank - Out Of Control,Hoobastank,Out Of Control
17673,SC8876-07,10230,0,0,0,Sound Choice,SC8000/8850/Sc8876,REASON - HOOBASTANK - SC8876-07,Hoobastank,Reason
